Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.01     0.00        4     0.00     0.00  decltype (_S_construct({parm#1}, {parm#2}, (forward<std::pair<std::string, std::string> >)({parm#3}))) std::allocator_traits<std::allocator<std::_Rb_tree_node<std::pair<std::string const, std::string> > > >::construct<std::_Rb_tree_node<std::pair<std::string const, std::string> >, std::pair<std::string, std::string> >(std::allocator<std::_Rb_tree_node<std::pair<std::string const, std::string> > >&, std::_Rb_tree_node<std::pair<std::string const, std::string> >*, std::pair<std::string, std::string>&&)
  0.00      0.01     0.00        4     0.00     0.00  std::_Rb_tree_iterator<std::pair<std::string const, std::string> >::_Rb_tree_iterator()
  0.00      0.01     0.00        4     0.00     0.00  std::map<std::string, std::string, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::find(std::string const&)
  0.00      0.01     0.00        4     0.00     0.00  std::pair<std::_Rb_tree_iterator<std::pair<std::string const, std::string> >, bool> std::map<std::string, std::string, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::insert<std::pair<std::string, std::string>, void>(std::pair<std::string, std::string>&&)
  0.00      0.01     0.00        4     0.00     0.00  std::pair<std::string const, std::string>::pair<std::string, std::string, void>(std::pair<std::string, std::string>&&)
  0.00      0.01     0.00        4     0.00     0.00  std::pair<std::string const, std::string>::~pair()
  0.00      0.01     0.00        4     0.00     0.00  std::pair<std::_Rb_tree_node_base*, std::_Rb_tree_node_base*>::pair<std::_Rb_tree_node<std::pair<std::string const, std::string> >*&, std::_Rb_tree_node<std::pair<std::string const, std::string> >*&, void>(std::_Rb_tree_node<std::pair<std::string const, std::string> >*&, std::_Rb_tree_node<std::pair<std::string const, std::string> >*&)
  0.00      0.01     0.00        4     0.00     0.00  std::pair<std::string, std::string>::pair<std::string&, std::string&, void>(std::string&, std::string&)
  0.00      0.01     0.00        4     0.00     0.00  std::pair<std::string, std::string>::~pair()
  0.00      0.01     0.00        4     0.00     0.00  std::pair<std::_Rb_tree_iterator<std::pair<std::string const, std::string> >, bool>::pair<std::_Rb_tree_iterator<std::pair<std::string const, std::string> >, bool, void>(std::_Rb_tree_iterator<std::pair<std::string const, std::string> >&&, bool&&)
  0.00      0.01     0.00        4     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::vector()
  0.00      0.01     0.00        4     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::~vector()
  0.00      0.01     0.00        4     0.00     0.00  std::_Rb_tree_iterator<std::pair<std::string const, std::string> > std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_M_insert_<std::pair<std::string, std::string> >(std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::pair<std::string, std::string>&&)
